ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
88.0,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000.0,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA ),2024,7,1308682.0,275839.0,2229.81,Miercoles,07/10/2024 10:30:00 PM,24.0
88.0,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000.0,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2024,7,20194952.0,5047981.0,33462.36,Jueves,07/25/2024 03:45:00 PM,24.0
13.0,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007.0,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,7,28683.0,13831.0,264.06,Lunes,07/01/2024 12:30:00 AM,4.22
13.0,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017.0,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,7,13868.0,4464.0,54.18,Viernes,07/12/2024 10:15:00 PM,10.15
18.0,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001.0,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,7,11716.0,5089.0,104.75,Martes,07/09/2024 07:45:00 PM,4.3
18.0,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002.0,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,7,3571.0,1667.0,40.64,Viernes,07/12/2024 06:45:00 PM,3.42
18.0,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002.0,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,7,2672.0,976.0,27.84,Lunes,07/01/2024 07:30:00 PM,5.01
19.0,CAUCA,19318,GUAPI,19318008.0,LIMONES (GUAPI - CAUCA),2024,7,4288.0,1882.0,45.28,Viernes,07/05/2024 07:45:00 PM,4.08
19.0,CAUCA,19318,GUAPI,19318013.0,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),2024,7,11284.0,6147.0,55.81,Viernes,07/26/2024 07:00:00 PM,8.23
19.0,CAUCA,19418,LÓPEZ DE MICAY,19418009.0,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2024,7,6151.0,2827.0,40.0,Sabado,07/13/2024 07:15:00 PM,6.42
19.0,CAUCA,19809,TIMBIQUÍ,19809014.0,CHACON (TIMBIQUÍ - CAUCA),2024,7,4464.0,1154.0,22.22,Domingo,07/21/2024 08:30:00 PM,8.35
